order,train_val_test,filename,filename_prefix,length,clips,fuel,config,cyl,turbo,misfire,loc,idle,disp,hp,make,oem
256,val,Porsche Carrera GT.wav,PorscheCarreraGT,16.7,5,Gasoline,V,10,Normally Aspirated,Normal,Unknown,Unknown,5.5,605,Porsche,VW
4,val,1949 Ford F1 239 Flathead.wav,1949FordF1239Flathead,362.7,120,Gasoline,V,8,Normally Aspirated,Normal,Open Hood,Idle,3.9,90,Ford,Ford
5,val,1967 Ford Mustang 289ci V8 Hood Open in Garage 271HP 2.wav,1967FordMustang289ciV8HoodOpeninGarage271HP2,65.5,21,Gasoline,V,8,Normally Aspirated,Normal,Open Hood,Idle,4.7,271,Ford,Ford
6,test,1967 Ford Mustang 289ci V8 Hood Open in Garage 271HP.wav,1967FordMustang289ciV8HoodOpeninGarage271HP,121.6,40,Gasoline,V,8,Normally Aspirated,Normal,Open Hood,Idle,4.7,271,Ford,Ford
11,val,2006 GM Chevrolet Tahoe Vortec 5300 5.3L V8 STEREO.wav,2006GMChevroletTahoeVortec530053LV8STEREO,20.3,6,Gasoline,V,8,Normally Aspirated,Normal,Open Hood,Idle,5.3,290,Chevrolet,GM
39,val,2012 Dodge Ram 1500 - 4.7L V8.wav,2012DodgeRam150047LV8,24.6,8,Gasoline,V,8,Normally Aspirated,Normal,Open Hood,Idle,4.7,310,Dodge,Stellantis
43,test,2012 Nissan Armada - VK56DE 5.6L V8.wav,2012NissanArmadaVK56DE56LV8,40.8,13,Gasoline,V,8,Normally Aspirated,Normal,Unknown,Unknown,5.6,317,Nissan,Nissan
55,test,2013 GM Chevrolet Silverado Vortec 4800 4.8L V8.wav,2013GMChevroletSilveradoVortec480048LV8,31.6,10,Gasoline,V,8,Normally Aspirated,Normal,Unknown,Unknown,4.8,302,Chevrolet,GM
75,val,2014 GM Chevrolet Tahoe - Vortec 5300 5.3L V8.wav,2014GMChevroletTahoeVortec530053LV8,25.8,8,Gasoline,V,8,Normally Aspirated,Normal,Open Hood,Idle,5.3,320,Chevrolet,GM
190,val,InfinitiQX80 V8 Normal 1.wav,InfinitiQX80V8Normal1,121.6,40,Gasoline,V,8,Normally Aspirated,Normal,Open Hood,Idle,5.6,400,Infiniti,Nissan
191,val,InfinitiQX80 V8 Normal 2.wav,InfinitiQX80V8Normal2,136.8,45,Gasoline,V,8,Normally Aspirated,Normal,Open Hood,Idle,5.6,400,Infiniti,Nissan
